Temperature,Humidity,WindSpeed,Pressure,Visibility,Precipitation,CloudCover,DewPoint
25.44,57.94,13.03,1024.97,4.45,9.95,58,22.98
23.5,83.86,7.37,1011.41,8.31,4.09,56,15.12
25.46,59.62,17.29,1012.73,5.57,11.82,39,14.45
15.06,80.83,9.46,1003.67,8.39,3.72,58,20.49
23.9,61.96,19.36,1008.57,8.58,6.63,1,16.04
26.79,58.85,3.71,1004.15,8.86,17.1,93,11.23
32.39,63.13,17.37,1011.27,9.33,4.14,93,13.96
22.41,55.07,15.53,1030.12,5.45,1.42,75,15.86
20.96,77.38,15.42,999.28,4.55,1.38,9,14.1
22.49,65.14,16.9,996.86,6.66,18.82,43,14.65
29.58,51.61,15.22,1027.71,4.97,10.14,10,14.11
26.64,84.98,12.52,1010.91,6.81,8.19,78,10.58
22.35,59.19,2.62,1006.31,7.64,16.22,79,18.92
27.57,67.18,0.65,1023.4,7.51,16.72,80,18.36
25.49,85.32,18.42,1006.94,5.0,6.64,89,19.15
29.84,71.21,12.33,1031.26,3.33,13.87,1,12.69
21.49,45.84,15.93,1019.78,5.44,15.42,49,14.14
23.36,86.99,9.63,1008.12,3.14,13.09,11,18.67
23.04,71.39,2.35,1034.57,9.12,3.03,89,18.39
17.68,56.75,2.5,1006.94,4.77,17.52,22,17.09
26.48,46.96,13.71,1020.42,3.24,10.78,17,14.91
26.31,79.7,8.61,1015.99,2.2,5.65,61,22.78
25.03,71.0,4.01,1026.02,7.17,8.5,95,14.76
23.83,66.67,9.83,1028.62,7.1,0.75,61,16.38
17.92,84.69,1.28,1013.32,4.72,2.56,37,19.49
22.9,79.43,11.64,1005.47,2.57,15.31,66,17.6
23.29,47.58,5.38,1017.6,5.28,0.0,37,14.86
20.99,55.59,15.95,1006.22,4.49,8.33,66,16.1
24.19,52.42,6.21,1033.13,7.42,10.45,93,21.12
27.02,77.2,9.1,1014.37,6.85,1.09,60,13.89
34.43,41.68,0.23,1009.35,4.92,19.46,0,11.99
25.87,68.49,1.45,1014.85,3.74,4.52,93,14.38
26.29,78.12,7.85,999.53,9.9,6.08,44,21.89
24.63,83.84,9.6,1003.28,5.63,6.08,95,11.25
15.41,57.1,12.0,1025.0,7.51,4.61,27,23.88
24.87,81.06,5.83,1006.43,3.12,0.03,20,17.57
25.3,45.53,13.9,1002.53,5.88,14.59,12,23.79
37.32,82.32,17.2,1018.37,2.22,19.34,26,23.15
24.04,46.37,15.6,1024.86,6.04,4.49,99,16.34
26.51,59.86,0.79,1020.19,9.71,13.26,6,12.78
24.83,79.86,9.61,1022.96,5.07,14.84,21,12.31
19.16,47.5,2.1,1005.43,2.31,16.97,73,13.36
30.71,51.46,4.84,998.78,2.25,8.45,52,19.94
28.76,76.11,19.73,1028.01,5.1,6.06,78,13.82
28.96,76.0,2.85,1009.77,3.28,6.51,78,14.78
20.45,72.06,9.98,1010.49,2.19,14.25,3,16.28
32.01,74.7,12.36,1026.28,8.05,16.34,95,22.79
17.99,67.14,14.05,1018.56,5.67,3.63,22,12.65
27.93,52.59,11.19,1017.56,4.31,7.42,69,10.07
35.95,57.28,0.2,1034.65,9.2,18.04,87,10.84
20.05,49.08,6.53,1006.56,2.93,16.13,83,22.67
22.17,85.42,10.35,1022.28,9.65,19.7,83,19.07
25.5,69.17,1.76,1013.57,4.51,15.08,75,13.82
22.48,60.04,7.01,1015.69,9.11,7.86,32,12.48
17.25,63.1,0.66,1028.28,6.82,11.81,27,14.12
25.34,87.36,1.57,1018.08,8.61,13.22,7,11.61
19.69,47.67,7.94,1018.38,9.87,1.57,0,23.18
27.37,69.31,2.65,1023.73,4.31,10.89,36,20.98
20.4,65.29,11.35,1009.35,9.69,14.19,62,16.47
32.75,70.57,13.79,1004.61,5.12,3.35,21,22.11
21.08,40.91,16.01,1002.55,5.08,15.61,69,13.49
23.39,83.61,4.0,993.34,4.72,11.68,20,20.04
29.07,86.61,3.35,1033.56,6.33,19.04,95,21.99
18.85,68.26,2.09,1001.97,3.23,0.85,34,14.99
26.14,74.83,12.73,1010.79,6.43,5.31,78,20.6
31.54,86.12,14.13,1010.23,6.33,12.03,4,14.13
16.96,75.36,0.63,1016.07,8.1,5.93,59,14.18
25.92,47.63,18.72,1021.16,8.67,14.29,45,11.5
26.3,68.81,1.04,1021.6,5.52,15.18,49,16.16
28.91,70.34,10.83,1007.17,4.42,2.05,47,20.22
18.82,61.21,14.18,1011.33,4.07,10.28,5,23.16
18.4,76.82,17.42,1015.83,3.56,10.18,88,18.45
27.61,86.72,14.28,1010.51,2.46,7.39,55,22.08
26.48,86.28,16.03,1029.07,4.74,18.66,58,21.51
26.25,62.54,6.79,1017.91,4.16,16.55,28,12.43
26.73,45.66,16.3,1020.35,9.73,13.94,70,16.8
21.6,89.24,1.6,1019.63,6.46,14.29,76,11.64
26.16,81.94,17.9,1024.73,4.78,9.23,17,19.55
26.47,46.23,10.95,1014.81,6.64,18.42,1,23.3
21.43,86.04,16.35,1000.03,3.11,13.89,7,11.92
34.33,83.49,9.05,1017.0,5.55,14.58,74,20.27
27.37,65.94,12.87,1006.49,7.01,17.23,96,18.85
19.04,69.56,10.53,1007.71,5.91,5.48,53,18.17
28.28,59.95,14.63,1018.86,5.21,16.14,37,15.46
20.13,42.74,1.63,1025.38,9.95,3.9,47,14.97
28.94,56.76,1.21,1013.21,9.04,6.91,26,10.63
30.79,80.14,4.94,1016.09,6.99,6.71,19,13.05
20.9,40.23,3.19,1030.02,6.56,19.57,11,10.21
29.82,56.67,17.44,1015.41,6.97,17.13,42,18.14
27.06,59.91,4.38,1039.02,3.61,14.02,60,11.48
29.11,66.87,19.52,1018.66,5.16,14.54,30,22.22
34.48,85.99,6.74,995.39,2.32,11.24,90,17.32
23.77,57.32,3.64,1020.53,5.8,18.94,95,19.8
21.23,57.35,15.79,1016.81,6.34,9.93,60,15.75
20.55,76.88,13.17,1025.9,3.82,7.61,73,17.85
20.92,62.61,9.96,1019.73,9.71,3.26,66,23.2
24.61,51.23,11.11,1011.62,9.28,15.72,90,11.16
26.71,62.62,14.38,1000.76,7.78,14.69,34,13.56
26.38,47.04,4.57,1010.91,6.27,7.69,94,20.92
29.14,48.82,19.93,1004.49,8.96,0.5,14,11.38
25.07,64.92,19.5,1007.19,3.05,16.78,15,11.06
32.27,60.95,13.01,1018.89,8.32,0.23,12,15.06
23.68,85.74,3.99,1029.7,3.0,14.07,34,11.29
38.6,58.12,13.6,1016.95,8.35,19.41,74,18.19
28.13,69.03,1.44,1001.04,4.21,8.75,58,13.17
20.71,71.61,0.61,1017.45,9.02,4.7,20,22.54
19.65,40.65,5.15,1024.97,9.55,14.1,53,20.97
27.41,73.18,9.25,1006.9,3.19,16.34,74,19.8
23.88,48.9,17.37,1011.66,5.7,10.93,29,18.64
28.57,88.05,14.54,1013.15,9.85,19.34,47,22.09
27.37,47.43,14.85,1005.15,5.87,1.03,34,13.12
24.64,60.73,8.51,1019.48,8.91,10.1,85,22.22
20.77,44.27,6.92,1011.79,6.71,14.37,37,21.05
17.43,89.84,7.42,1017.2,5.0,17.25,30,20.47
22.77,65.11,19.75,1004.13,4.29,3.59,77,17.86
29.28,69.77,0.8,1008.63,3.63,16.0,23,13.45
26.07,43.35,17.34,1020.22,8.09,11.05,48,15.93
18.77,77.5,11.57,1009.27,5.09,7.93,95,21.11
25.87,50.5,8.77,1030.27,6.09,2.63,99,10.44
26.93,84.9,14.51,1009.0,5.94,17.31,31,20.95
20.58,50.26,9.73,1015.25,6.62,3.15,54,13.36
25.77,49.53,17.47,1022.33,8.92,6.2,78,12.02
25.29,41.83,18.01,998.82,9.85,5.8,57,11.62
19.29,63.6,8.43,995.39,5.26,17.43,98,10.38
26.79,68.24,5.54,997.74,8.62,13.45,2,17.33
27.8,43.29,11.85,1025.63,8.12,15.93,79,13.06
30.42,78.78,18.25,1007.48,6.59,5.01,68,23.85
30.27,62.66,4.21,1038.58,9.65,12.5,84,18.04
18.11,66.22,12.46,1007.36,3.6,11.43,9,11.93
20.31,62.04,12.63,1014.85,2.87,16.66,82,19.64
27.58,60.04,14.66,1028.42,8.83,18.12,24,22.57
27.57,67.98,2.63,1033.06,5.51,0.24,67,20.43
27.58,47.76,14.32,1033.62,8.78,13.48,60,11.07
44.26,49.1,18.18,1025.08,9.14,1.04,28,22.54
27.85,83.09,3.59,1023.24,2.5,10.98,18,21.12
30.68,87.31,4.75,1018.93,9.07,5.75,42,12.22
29.77,58.67,19.43,1020.78,5.59,6.14,65,10.73
28.26,53.54,3.62,1007.49,6.08,7.06,73,17.8
23.42,72.2,17.09,1004.82,7.01,12.43,60,12.18
28.79,60.44,9.85,1012.97,9.41,6.68,42,21.68
21.14,41.27,4.94,1011.3,2.15,14.65,24,15.02
23.82,47.81,17.41,1008.47,5.81,8.09,19,22.78
22.57,75.8,8.91,1019.96,7.5,1.37,47,17.92
25.41,72.95,10.3,1022.55,7.78,15.68,82,12.56
36.57,41.35,7.18,1013.88,7.54,5.72,86,11.95
15.66,51.1,11.86,1027.78,3.08,8.66,23,18.07
28.43,51.55,3.27,1001.58,4.4,13.71,10,20.67
16.94,73.59,7.82,1011.06,4.87,6.65,97,20.94
22.64,40.99,19.39,1005.83,8.44,1.13,54,13.86
30.44,45.21,5.16,994.33,4.23,7.48,27,12.86
25.32,80.0,13.13,1012.17,3.69,18.89,68,10.23
19.61,48.93,6.5,1011.78,9.66,12.83,62,19.51
21.42,72.64,15.47,1028.13,2.07,13.43,58,11.07
28.4,51.91,2.62,1019.31,9.98,12.65,4,15.89
21.35,44.97,19.4,1002.76,7.41,3.98,50,18.42
26.08,52.16,9.08,1031.54,8.63,8.37,20,23.12
25.23,76.11,4.72,1025.21,4.36,15.02,11,14.37
21.74,82.78,1.47,1018.82,2.11,2.03,49,13.5
35.72,81.51,3.4,1010.74,7.9,5.56,3,19.16
28.17,59.86,10.4,1003.41,8.67,5.53,41,18.67
14.87,73.4,6.74,1009.28,7.92,8.64,83,14.65
25.93,50.25,16.58,1023.89,3.14,19.61,37,22.99
21.69,54.66,8.62,1031.85,8.03,1.35,24,21.83
29.26,84.82,4.97,1028.43,8.15,10.37,13,13.14
21.04,40.65,12.34,1008.11,7.27,3.59,74,13.35
24.43,44.28,14.14,1001.8,8.13,19.41,31,17.17
27.52,50.39,3.34,1014.41,8.77,2.27,10,20.83
29.33,41.33,3.35,995.32,6.91,8.07,60,10.62
19.0,49.07,0.73,1016.23,2.71,14.76,17,19.71
23.33,69.15,14.73,1011.52,5.9,14.09,26,19.08
22.63,61.07,13.28,1008.34,2.62,8.45,54,13.24
21.73,84.63,9.49,997.05,5.26,6.93,53,19.54
33.83,80.87,16.88,1018.14,5.26,7.95,81,23.16
27.02,57.09,16.11,1007.67,2.53,5.29,86,10.66
18.7,52.97,11.71,1001.3,4.79,4.11,74,14.48
29.59,58.98,17.37,984.28,2.89,9.66,20,16.13
35.61,69.51,4.12,1012.72,8.47,5.37,43,22.59
30.16,53.4,2.24,1030.72,9.58,5.75,4,23.47
17.4,71.21,5.39,1029.61,2.58,13.14,86,16.22
22.58,60.47,1.14,1008.43,9.64,19.37,40,20.5
31.33,67.6,10.62,1006.98,6.18,12.07,58,17.44
21.46,61.81,18.73,1017.69,4.4,1.54,88,17.53
27.22,54.72,0.79,1003.02,2.61,1.51,53,13.89
28.87,87.42,2.44,1016.02,6.0,19.03,73,13.04
20.37,78.18,9.04,1020.66,8.36,5.95,21,14.03
24.7,47.01,18.68,1025.27,7.66,1.84,82,17.79
8.79,83.42,6.32,1012.0,2.4,11.98,64,10.41
19.88,64.37,10.14,1010.96,2.58,12.47,63,22.7
23.74,84.73,0.83,1004.22,5.22,12.97,70,12.19
18.76,79.99,2.97,1004.73,4.36,5.35,3,13.08
33.16,61.26,19.73,1010.74,3.86,0.3,64,17.26
17.85,41.12,19.3,1016.67,4.25,19.3,14,19.94
22.8,53.43,0.1,1022.14,8.43,5.02,75,11.34
25.65,67.08,19.04,1004.97,9.43,13.52,21,14.45
32.21,71.67,12.78,1027.93,5.24,14.13,85,23.56
17.82,52.89,17.36,1010.29,9.25,12.2,46,13.67
30.82,46.97,9.09,1012.79,4.57,6.26,80,14.38
25.05,81.75,10.31,1005.53,5.81,5.42,92,21.71
20.09,89.22,9.78,988.76,3.81,11.95,45,10.7
27.31,66.28,13.34,1021.84,7.12,17.32,13,16.5
26.0,48.58,2.79,1020.37,9.83,18.93,49,15.31
22.0,53.62,0.6,1010.19,6.83,2.12,19,14.43
25.35,40.92,6.16,1013.67,4.86,3.1,49,14.0
23.07,85.71,14.09,1018.16,7.18,18.89,32,11.28
25.57,45.89,4.04,997.37,2.98,14.73,58,14.41
28.31,68.83,13.47,1007.71,9.11,17.66,42,10.6
32.93,53.7,19.4,1020.94,6.02,4.05,78,20.93
18.81,67.71,1.88,1000.46,5.59,11.75,11,15.58
35.67,72.57,13.45,1015.94,6.69,14.02,39,16.21
15.24,81.49,8.88,999.43,7.0,13.6,19,22.51
24.24,50.32,17.36,1017.66,2.57,8.16,93,19.21
27.94,40.55,3.54,1012.64,7.46,0.31,37,10.11
26.4,46.84,13.85,996.85,3.94,11.66,2,23.2
21.89,85.0,16.76,1024.65,7.71,5.06,27,13.32
23.96,83.69,18.89,1005.65,8.58,9.01,55,11.51
22.53,69.87,13.66,1004.9,8.43,19.15,89,20.75
22.05,70.03,9.94,1015.01,6.42,7.98,93,17.01
29.25,73.25,12.36,1024.49,6.16,16.8,12,16.07
26.79,48.77,17.38,1002.84,3.14,3.77,76,13.49
21.54,85.72,11.41,1013.62,8.2,13.45,65,17.66
29.5,60.94,0.61,1017.29,4.17,19.54,36,13.84
26.54,59.16,18.62,1019.93,5.97,2.04,48,22.62
29.06,65.95,13.79,1014.76,4.27,0.17,65,13.01
28.15,42.35,13.53,1009.33,3.07,8.67,35,22.38
20.86,48.31,4.31,1004.72,7.04,1.85,53,17.83
22.2,76.9,13.18,1013.86,2.43,14.97,25,21.6
28.74,44.14,7.88,1002.28,7.99,18.29,74,19.98
28.05,70.16,13.02,983.79,4.54,8.68,71,19.75
24.9,52.27,2.13,1017.37,2.0,5.17,39,14.54
25.59,59.46,13.16,1022.04,6.09,8.69,42,13.27
31.39,54.43,19.99,989.37,2.37,14.47,21,12.95
22.04,57.78,0.96,1002.9,4.21,0.18,19,22.0
27.74,75.95,19.54,1019.19,7.66,11.79,7,21.49
23.99,54.86,8.14,1033.57,2.5,12.27,28,16.17
23.91,68.32,17.42,1013.21,8.71,12.75,39,11.85
30.49,63.8,15.65,1005.72,2.03,4.84,89,15.35
29.13,73.18,11.34,1011.17,3.97,14.28,29,18.67
29.07,86.84,14.77,1026.75,7.93,1.83,80,16.36
31.53,76.63,17.57,1006.54,4.53,3.99,83,20.92
25.11,50.75,8.08,1005.01,2.82,17.55,54,23.97
28.41,41.56,6.54,1008.17,4.88,14.77,15,12.68
23.45,53.11,13.35,1003.47,4.16,0.27,45,16.44
26.62,69.75,16.16,1014.23,8.74,4.97,61,16.03
24.35,42.57,15.25,1029.25,4.51,4.29,6,14.26
25.48,64.82,15.96,1016.23,8.31,5.42,79,12.77
27.98,69.84,8.71,1010.48,9.13,4.95,44,10.92
20.91,56.71,16.36,1010.08,5.47,1.25,58,22.42
35.46,78.55,2.4,997.37,9.28,9.18,55,15.88
19.97,45.33,10.89,1021.83,5.02,14.65,47,16.96
18.93,43.76,0.12,1012.22,9.71,12.13,26,22.84
30.79,76.41,6.49,1011.2,2.71,13.46,52,20.87
28.96,64.77,7.33,1044.93,7.5,1.62,86,11.83
28.12,74.42,7.92,1015.99,5.95,19.03,87,17.92
28.14,61.74,13.91,1005.48,5.1,16.77,72,16.19
24.94,52.32,7.77,1008.74,7.06,16.1,34,21.16
20.51,80.96,8.97,1024.48,7.63,16.46,50,20.14
25.38,79.97,4.75,1014.13,2.03,18.65,83,19.67
21.61,74.73,7.47,998.62,3.34,10.89,36,14.77
29.88,53.61,4.55,1022.19,7.7,4.01,80,21.27
24.26,69.51,1.46,1006.32,7.33,12.34,94,10.73
20.87,58.05,12.07,1031.73,9.73,14.86,56,12.23
23.39,44.58,13.36,1023.8,8.09,14.76,7,14.7
27.06,85.87,12.39,1008.53,9.61,10.43,78,11.08
22.18,46.84,9.27,1025.81,7.62,1.37,94,13.29
20.89,87.51,7.6,1013.68,4.38,7.42,93,21.62
26.22,62.3,17.27,1021.53,2.84,18.42,19,23.28
26.22,49.26,10.38,1017.85,8.25,11.69,52,14.26
22.47,67.1,9.58,1004.54,7.15,10.77,11,13.7
22.64,83.65,0.51,1006.56,2.39,5.38,48,13.92
26.16,76.61,6.82,1023.3,4.88,7.37,16,13.89
17.76,80.33,7.6,1009.65,9.65,17.91,63,10.5
17.96,72.94,7.98,1008.96,6.0,13.33,41,22.98
21.41,74.61,11.6,1003.45,5.46,15.75,93,12.99
23.93,82.46,10.67,1017.24,5.66,9.09,28,15.88
26.55,52.48,12.16,1033.63,3.67,12.6,18,10.14
32.38,64.47,15.3,1002.32,4.95,4.97,10,22.01
29.29,51.06,16.26,1013.24,4.96,14.11,97,20.24
24.2,89.38,14.36,1027.12,2.42,8.55,49,23.25
24.9,87.2,19.11,1012.2,8.14,8.85,70,20.94
19.99,41.97,0.36,1017.52,5.33,12.99,57,14.39
24.91,75.28,3.92,1002.38,8.58,18.73,33,13.47
23.56,86.26,0.15,1017.28,8.8,1.28,19,19.77
26.61,49.03,12.95,1011.13,3.7,16.49,49,15.1
20.86,68.4,17.96,1022.86,7.26,5.85,87,17.93
27.6,85.77,4.87,1024.87,5.78,8.88,9,10.09
32.66,41.7,18.54,1038.9,9.04,0.44,31,10.87
24.46,74.87,1.21,1018.8,3.73,6.02,51,17.5
27.01,54.87,18.69,1016.26,7.42,10.05,14,17.93
28.45,86.22,7.03,1014.94,6.86,1.12,83,20.52
22.99,88.55,2.03,1009.47,4.36,9.82,2,11.85
26.12,87.21,9.72,1016.38,3.09,18.54,36,17.18
25.06,63.71,5.14,1010.05,7.21,2.11,39,12.72
25.49,83.1,5.7,1014.68,7.91,15.29,71,11.3
21.13,82.23,6.15,1026.18,4.53,8.19,39,15.75
25.12,55.96,16.06,1002.93,7.16,13.1,55,12.29
27.49,81.45,10.78,1024.4,5.16,5.2,22,13.1
32.26,41.85,6.23,1026.17,7.71,3.19,10,14.45
29.8,69.81,12.21,1011.82,3.59,3.21,63,13.63
35.77,51.5,14.32,991.78,9.12,1.41,7,11.23
21.16,46.03,5.45,1006.92,4.3,3.71,92,11.26
29.36,43.85,8.27,1025.97,4.94,13.28,93,12.71
25.92,74.81,2.44,1012.77,2.46,17.63,55,10.71
35.95,56.99,3.62,1003.01,2.89,16.28,59,18.77
20.96,76.24,13.62,1007.95,6.13,13.7,9,14.02
20.8,43.27,3.63,1021.41,4.14,2.21,38,13.92
22.0,55.76,10.5,1018.47,8.68,5.78,27,14.65
14.38,66.97,14.18,1010.61,2.12,6.2,48,19.28
22.37,79.54,2.14,1009.33,5.03,5.0,35,22.19
21.2,55.94,11.35,1009.08,4.7,10.3,12,20.63
25.75,71.29,5.13,1003.78,2.15,10.71,95,20.19
26.71,84.3,19.26,1029.15,2.99,7.14,35,16.78
34.38,70.79,9.67,1009.78,5.31,7.08,25,19.71
29.75,51.65,16.12,1025.17,5.94,16.57,85,17.74
22.12,41.22,11.0,1028.21,5.23,15.79,3,13.03
20.51,83.5,0.87,1022.98,6.25,6.16,94,12.92
27.46,41.06,12.66,1008.68,6.76,18.28,81,14.15
18.4,83.74,19.03,1017.04,2.08,19.06,63,22.75
34.16,66.45,12.03,1012.76,5.71,6.53,37,17.66
30.9,86.95,16.38,1003.96,9.71,7.09,87,20.27
22.65,79.94,17.68,1016.24,6.15,10.11,86,14.85
16.43,89.9,4.56,1001.21,7.42,18.82,21,15.71
31.77,57.54,4.24,1024.88,4.49,17.53,1,11.76
24.43,78.36,12.22,1008.35,8.19,2.05,30,12.4
31.19,60.1,8.22,1015.01,8.18,7.85,10,21.58
17.03,63.99,16.8,1015.83,6.17,11.07,91,18.19
22.0,71.38,18.0,1010.41,9.81,10.06,45,14.73
25.03,83.68,7.07,1018.87,3.0,3.88,95,21.24
25.23,89.2,4.74,1008.25,2.14,17.18,61,13.45
22.75,78.41,15.61,1021.71,8.16,13.54,68,23.66
28.11,60.89,5.5,999.54,8.46,16.76,63,14.83
19.66,61.07,16.45,1014.26,2.96,17.18,9,14.72
24.29,76.88,8.47,1032.39,4.12,14.97,39,14.37
25.6,51.94,13.35,1003.0,2.14,8.78,23,11.71
27.57,45.52,1.91,1006.22,4.35,12.21,98,11.56
28.56,57.73,12.48,1018.14,8.19,3.21,43,19.07
19.38,54.36,9.04,1014.8,6.14,13.47,59,22.25
17.33,54.82,11.73,1016.51,4.78,3.59,61,21.07
31.39,51.68,3.36,1017.89,4.97,13.88,86,11.98
26.66,42.1,14.74,1019.35,2.01,4.59,16,17.64
21.26,40.89,17.26,1024.1,4.4,2.35,64,11.48
32.76,89.39,4.33,1017.1,7.17,3.31,94,10.63
25.58,61.39,1.91,1010.59,9.79,0.04,94,19.19
30.9,59.22,0.47,1019.73,8.78,14.37,56,17.49
25.34,73.98,12.84,1032.0,2.19,14.65,54,11.15
35.3,50.91,12.14,1011.67,9.19,10.3,52,10.49
33.78,87.5,10.93,1003.25,8.27,3.23,55,23.86
23.76,79.32,4.64,1024.07,8.24,1.67,97,10.42
29.86,44.47,7.82,1011.8,5.66,0.38,8,16.22
28.23,60.88,11.89,991.27,5.18,3.31,21,17.06
31.84,83.96,9.94,1021.47,4.42,17.82,12,11.64
20.18,87.24,19.76,1007.65,2.53,4.83,88,12.37
28.43,63.37,2.73,1012.09,3.83,7.09,47,14.93
30.29,70.67,13.9,1016.32,3.97,2.11,17,20.66
16.21,48.35,8.09,1014.9,5.87,4.45,75,17.1
19.08,89.56,8.56,1020.09,7.98,10.38,39,18.93
14.8,51.58,14.35,1008.65,5.79,12.16,16,23.79
23.65,87.14,13.85,1018.13,2.46,4.91,14,20.75
28.59,72.48,19.83,1010.4,9.66,1.15,14,16.08
32.51,70.39,2.57,1020.39,9.54,7.82,78,16.25
25.37,65.63,2.08,1019.15,8.28,4.68,62,18.66
33.14,51.53,14.49,1003.65,9.93,4.39,38,19.32
18.1,48.83,11.57,1023.86,6.36,19.2,12,17.01
16.48,51.02,5.48,1007.64,9.7,12.33,80,19.03
24.72,49.32,1.59,1021.08,2.6,11.14,31,10.33
26.92,78.98,1.71,1016.67,4.93,8.32,8,16.01
24.84,57.51,17.88,1031.38,3.8,8.58,39,13.91
14.66,42.89,3.84,1010.77,3.57,10.82,19,11.81
24.55,88.46,6.47,1009.51,3.13,13.93,89,11.39
18.48,84.19,4.53,1012.81,6.98,14.04,90,18.44
28.35,86.39,7.1,1009.97,8.25,3.43,84,17.33
26.83,89.75,1.39,1021.0,6.63,10.0,81,13.55
20.3,48.69,10.38,996.84,3.18,8.24,76,16.59
22.43,59.81,1.35,1002.46,8.49,17.41,79,16.89
